slice,x,y,dc60
0,-4.0,-3.0,
0,-3.5789473684210527,-3.0,
0,-3.1578947368421053,-3.0,
0,-2.736842105263158,-3.0,
0,-2.3157894736842106,-3.0,
0,-1.8947368421052633,-3.0,
0,-1.473684210526316,-3.0,
0,-1.0526315789473686,-3.0,
0,-0.6315789473684212,-3.0,
0,-0.2105263157894739,-3.0,
0,0.21052631578947345,-3.0,
0,0.6315789473684212,-3.0,
0,1.0526315789473681,-3.0,
0,1.473684210526315,-3.0,
0,1.8947368421052628,-3.0,
0,2.3157894736842106,-3.0,
0,2.7368421052631575,-3.0,
0,3.1578947368421044,-3.0,
0,3.578947368421052,-3.0,
0,4.0,-3.0,
0,-4.0,-2.7894736842105265,
0,-3.5789473684210527,-2.7894736842105265,
0,-3.1578947368421053,-2.7894736842105265,
0,-2.736842105263158,-2.7894736842105265,
0,-2.3157894736842106,-2.7894736842105265,
0,-1.8947368421052633,-2.7894736842105265,
0,-1.473684210526316,-2.7894736842105265,
0,-1.0526315789473686,-2.7894736842105265,
0,-0.6315789473684212,-2.7894736842105265,
0,-0.2105263157894739,-2.7894736842105265,
0,0.21052631578947345,-2.7894736842105265,
0,0.6315789473684212,-2.7894736842105265,
0,1.0526315789473681,-2.7894736842105265,
0,1.473684210526315,-2.7894736842105265,
0,1.8947368421052628,-2.7894736842105265,
0,2.3157894736842106,-2.7894736842105265,
0,2.7368421052631575,-2.7894736842105265,
0,3.1578947368421044,-2.7894736842105265,
0,3.578947368421052,-2.7894736842105265,
0,4.0,-2.7894736842105265,
0,-4.0,-2.5789473684210527,
0,-3.5789473684210527,-2.5789473684210527,
0,-3.1578947368421053,-2.5789473684210527,
0,-2.736842105263158,-2.5789473684210527,
0,-2.3157894736842106,-2.5789473684210527,
0,-1.8947368421052633,-2.5789473684210527,
0,-1.473684210526316,-2.5789473684210527,
0,-1.0526315789473686,-2.5789473684210527,
0,-0.6315789473684212,-2.5789473684210527,
0,-0.2105263157894739,-2.5789473684210527,
0,0.21052631578947345,-2.5789473684210527,
0,0.6315789473684212,-2.5789473684210527,
0,1.0526315789473681,-2.5789473684210527,
0,1.473684210526315,-2.5789473684210527,
0,1.8947368421052628,-2.5789473684210527,
0,2.3157894736842106,-2.5789473684210527,
0,2.7368421052631575,-2.5789473684210527,
0,3.1578947368421044,-2.5789473684210527,
0,3.578947368421052,-2.5789473684210527,
0,4.0,-2.5789473684210527,
0,-4.0,-2.3684210526315788,
0,-3.5789473684210527,-2.3684210526315788,
0,-3.1578947368421053,-2.3684210526315788,
0,-2.736842105263158,-2.3684210526315788,
0,-2.3157894736842106,-2.3684210526315788,
0,-1.8947368421052633,-2.3684210526315788,
0,-1.473684210526316,-2.3684210526315788,
0,-1.0526315789473686,-2.3684210526315788,
0,-0.6315789473684212,-2.3684210526315788,
0,-0.2105263157894739,-2.3684210526315788,
0,0.21052631578947345,-2.3684210526315788,
0,0.6315789473684212,-2.3684210526315788,
0,1.0526315789473681,-2.3684210526315788,
0,1.473684210526315,-2.3684210526315788,
0,1.8947368421052628,-2.3684210526315788,
0,2.3157894736842106,-2.3684210526315788,
0,2.7368421052631575,-2.3684210526315788,
0,3.1578947368421044,-2.3684210526315788,
0,3.578947368421052,-2.3684210526315788,
0,4.0,-2.3684210526315788,
0,-4.0,-2.1578947368421053,
0,-3.5789473684210527,-2.1578947368421053,
0,-3.1578947368421053,-2.1578947368421053,
0,-2.736842105263158,-2.1578947368421053,
0,-2.3157894736842106,-2.1578947368421053,
0,-1.8947368421052633,-2.1578947368421053,
0,-1.473684210526316,-2.1578947368421053,
0,-1.0526315789473686,-2.1578947368421053,
0,-0.6315789473684212,-2.1578947368421053,
0,-0.2105263157894739,-2.1578947368421053,
0,0.21052631578947345,-2.1578947368421053,
0,0.6315789473684212,-2.1578947368421053,
0,1.0526315789473681,-2.1578947368421053,
0,1.473684210526315,-2.1578947368421053,
0,1.8947368421052628,-2.1578947368421053,
0,2.3157894736842106,-2.1578947368421053,
0,2.7368421052631575,-2.1578947368421053,
0,3.1578947368421044,-2.1578947368421053,
0,3.578947368421052,-2.1578947368421053,
0,4.0,-2.1578947368421053,
0,-4.0,-1.9473684210526316,
0,-3.5789473684210527,-1.9473684210526316,
0,-3.1578947368421053,-1.9473684210526316,
0,-2.736842105263158,-1.9473684210526316,
0,-2.3157894736842106,-1.9473684210526316,
0,-1.8947368421052633,-1.9473684210526316,
0,-1.473684210526316,-1.9473684210526316,
0,-1.0526315789473686,-1.9473684210526316,
0,-0.6315789473684212,-1.9473684210526316,
0,-0.2105263157894739,-1.9473684210526316,
0,0.21052631578947345,-1.9473684210526316,
0,0.6315789473684212,-1.9473684210526316,
0,1.0526315789473681,-1.9473684210526316,
0,1.473684210526315,-1.9473684210526316,
